eventDate,decimalLatitude,decimalLongitude,individualCount,stateProvince,habitat_type,conservation_status,conservation_source
2023-02-16,-27.511464,153.247541,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-16,-27.81932,153.137922,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-17,-27.9988,153.27663,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-17,-35.99698,137.1373,1,South Australia,Kanmantoo,Rare,SA NPW Act 1972
2023-02-17,-28.13852,153.45509,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-17,-31.952415,152.467677,1,New South Wales,NSW North Coast,Endangered,NSW BC Act 2016
2023-02-17,-27.9511,153.36589,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-17,-28.15996,153.44964,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-17,-27.9511,153.36589,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-17,-27.514805,153.251864,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-17,-27.514921,153.251499,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-18,-28.01278,153.32773,2,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-18,-35.76231,136.86082,1,South Australia,Kanmantoo,Rare,SA NPW Act 1972
2023-02-18,-35.71394,137.11046,1,South Australia,Kanmantoo,Rare,SA NPW Act 1972
2023-02-18,-28.383586,153.554792,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-02-18,-28.415444,153.477853,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-02-19,-28.13439,153.44359,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-19,-28.09769,153.3752,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-19,-27.93427,153.36334,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-19,-27.93372,153.36278,2,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-19,-28.11555,153.37099,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-19,-28.0986,153.37666,4,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-19,-34.98959,138.70867,1,South Australia,Flinders Lofty Block,Rare,SA NPW Act 1972
2023-02-19,-28.13232,153.45584,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-19,-27.506455,153.218234,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-20,-37.50069,144.10323,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-20,-27.89913,153.29652,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-20,-27.87215,153.21235,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-20,-27.490575,153.248969,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-21,-27.87226,153.21165,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-21,-27.93991,153.35871,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-21,-28.37735,153.556243,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-02-21,-28.398946,153.555796,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-02-21,-21.442715,148.870042,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-02-21,-21.179285,148.677368,1,Queensland,Central Mackay Coast,Vulnerable,QLD NC Act 1992
2023-02-22,-27.9391,153.3649,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-22,-27.89066,153.32912,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-22,-35.73639,136.79911,1,South Australia,Kanmantoo,Rare,SA NPW Act 1972
2023-02-22,-36.91677,145.94126,1,Victoria,South Eastern Highlands,Vulnerable,VIC FFG Act 1988
2023-02-22,-37.50187,144.10302,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-22,-27.489698,153.245102,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-22,-27.490267,153.245438,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-22,-27.490444,153.247726,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-22,-27.545811,153.270126,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-22,-27.490055,153.245071,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-22,-27.490114,153.245422,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-22,-27.490177,153.247742,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-22,-27.539175,153.271378,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-23,-27.89066,153.32912,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-24,-36.79873,145.92524,1,Victoria,South Eastern Highlands,Vulnerable,VIC FFG Act 1988
2023-02-24,-27.89066,153.32912,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-24,-28.388961,153.547172,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
